name,group,lss fom
agnddf_illum10_v1.3_10yrs.db,AGN_DDF,0.9829249185075876
agnddf_illum15_v1.3_10yrs.db,AGN_DDF,0.9836022890924134
agnddf_illum30_v1.3_10yrs.db,AGN_DDF,0.9835546070041518
agnddf_illum60_v1.3_10yrs.db,AGN_DDF,0.9838850524539646
dcr_nham1_v1.3_10yrs.db,DCR,0.9783071726988072
dcr_nham2_v1.3_10yrs.db,DCR,0.9765253266595654
dcr_nham3_v1.3_10yrs.db,DCR,0.973197102255115
descddf_illum3_v1.3_10yrs.db,DESC_DDF,0.9381174985341976
descddf_illum4_v1.3_10yrs.db,DESC_DDF,0.9649569419197728
descddf_illum5_v1.3_10yrs.db,DESC_DDF,0.9734217043592144
descddf_illum7_v1.3_10yrs.db,DESC_DDF,0.9796978192796596
descddf_illum10_v1.3_10yrs.db,DESC_DDF,0.9829355365578784
descddf_illum15_v1.3_10yrs.db,DESC_DDF,0.9830384487882838
descddf_illum30_v1.3_10yrs.db,DESC_DDF,0.983486398412364
descddf_illum60_v1.3_10yrs.db,DESC_DDF,0.984340096133912
altLike_large_v1.3_10yrs.db,alt_sched,0.8360017868131728
altLike_v1.3_10yrs.db,alt_sched,0.9393799910021188
baseline_2snap_v1.3_10yrs.db,baseline,0.9776181807750456
baseline_nomix_v1.3_10yrs.db,baseline,0.9802652840572916
baseline_v1.3_10yrs.db,baseline,0.981322366655078
bulges_bsv1.3_10yrs.db,bulge,1.0392807451885957
bulges_bulge_wfdv1.3_10yrs.db,bulge,1.037356739801525
bulges_cadence_bsv1.3_10yrs.db,bulge,1.0380361420284587
bulges_cadence_bulge_wfdv1.3_10yrs.db,bulge,1.0365829921199683
bulges_cadence_i_heavyv1.3_10yrs.db,bulge,1.0395336537345483
bulges_i_heavyv1.3_10yrs.db,bulge,1.0364768172925682
euclid_ddf_v1.3_10yrs.db,euclid_DDF,0.9806538666699436
filterload_illum3_v1.3_10yrs.db,filter_load,0.93970671671393
filterload_illum4_v1.3_10yrs.db,filter_load,0.9655084411781372
filterload_illum5_v1.3_10yrs.db,filter_load,0.973062368895664
filterload_illum7_v1.3_10yrs.db,filter_load,0.9793404806627642
filterload_illum10_v1.3_10yrs.db,filter_load,0.981322366655078
filterload_illum15_v1.3_10yrs.db,filter_load,0.9817943743450176
filterload_illum30_v1.3_10yrs.db,filter_load,0.982203975298376
filterload_illum60_v1.3_10yrs.db,filter_load,0.9832315438731292
add_mag_clouds_v1.3_10yrs.db,footprints,0.9865535873997792
big_sky_dust_v1.3_10yrs.db,footprints,1.045141079918788
big_sky_nouiy_v1.3_10yrs.db,footprints,1.0257704313425082
big_sky_v1.3_10yrs.db,footprints,1.0217566711243304
bluer_footprint_v1.3_10yrs.db,footprints,0.9646419120737364
gp_heavy_v1.3_10yrs.db,footprints,0.9793121102789836
newA_v1.3_10yrs.db,footprints,1.0308855474358014
newB_v1.3_10yrs.db,footprints,1.0191165080011668
no_gp_north_v1.3_10yrs.db,footprints,0.9807816021463948
stuck_rolling_v1.3_10yrs.db,footprints,0.7258241799738857
presto_third_v1.3_10yrs.db,presto,0.9821189174168368
presto_v1.3_10yrs.db,presto,0.982371700662692
altroll_mod2_sdf_0.20_v1.3_10yrs.db,roll_alt,0.9735125913473612
altwfd_v1.3_10yrs.db,roll_alt,0.9802715175288744
altroll_mod2_dust_sdf_0.20_v1.3_10yrs.db,roll_alt_dust,1.0243184214451746
altwfd_dust_v1.3_10yrs.db,roll_alt_dust,1.0395317426615298
delayedrolling_mod2_sdf_0.10_v1.3_10yrs.db,rolling_cadence,0.9762523239765728
delayedrolling_mod2_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9757054053906282
delayedrolling_mod3_sdf_0.10_v1.3_10yrs.db,rolling_cadence,0.9742561831177676
delayedrolling_mod3_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9734992314693102
delayedrolling_mod6_sdf_0.10_v1.3_10yrs.db,rolling_cadence,0.9679257890142628
delayedrolling_mod6_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9697743072812852
simplerolling_mod2_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9763022126311712
simplerolling_mod3_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9680596418596064
simplerolling_mod5_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.95100757408201
simplerolling_mod10_sdf_0.20_v1.3_10yrs.db,rolling_cadence,0.9382335914727395
tde_illum75_v1.3_10yrs.db,tde_detect,0.9755088257947564
uer_illum75_v1.3_10yrs.db,tde_detect,0.9870337978131524
templatew0.00_v1.3_10yrs.db,templates,0.9826148768058725
templatew0.10_v1.3_10yrs.db,templates,0.9823528581476421
templatew0.50_v1.3_10yrs.db,templates,0.9822587988031646
templatew1.00_v1.3_10yrs.db,templates,0.9824472690849132
templatew1.50_v1.3_10yrs.db,templates,0.9829888187862256
templatew2.00_v1.3_10yrs.db,templates,0.9817932651632858
templatew2.50_v1.3_10yrs.db,templates,0.982235030295394
templatew3.00_v1.3_10yrs.db,templates,0.9820549594283832
templatew4.00_v1.3_10yrs.db,templates,0.9816251977052516
templatew5.00_v1.3_10yrs.db,templates,0.9812245847313019
templatew6.00_v1.3_10yrs.db,templates,0.981322366655078
templatew8.00_v1.3_10yrs.db,templates,0.980743824390546
templatew10.00_v1.3_10yrs.db,templates,0.9799063188410408
twilight_neo_mod1_v1.3_10yrs.db,twilight_neo,0.973188902129532
twilight_neo_mod2_v1.3_10yrs.db,twilight_neo,0.9778671922536004
twilight_neo_mod3_v1.3_10yrs.db,twilight_neo,0.9785307514439598
twilight_neo_mod4_v1.3_10yrs.db,twilight_neo,0.9798284005663428
wfd_65_v1.3_10yrs.db,wfd_depth,0.972631067084856
wfd_70_v1.3_10yrs.db,wfd_depth,0.9752076265721864
wfd_75_v1.3_10yrs.db,wfd_depth,0.9765302027853531
wfd_80_v1.3_10yrs.db,wfd_depth,0.9785693982528124
wfd_85_v1.3_10yrs.db,wfd_depth,0.9810774545859332
wfd_90_v1.3_10yrs.db,wfd_depth,0.9844091290294036
wfd_95_v1.3_10yrs.db,wfd_depth,0.9841493595607688
wfd_standard_v1.3_10yrs.db,wfd_depth,0.9845762765998488
wfd_only_2snap_v1.3_10yrs.db,wfd_only,0.983369881827028
wfd_only_nomix_v1.3_10yrs.db,wfd_only,0.9846762192076404
wfd_only_v1.3_10yrs.db,wfd_only,0.9847967670661272
